state,county,total_county_pop,white_county_pop,black_county_pop,native_county_pop,other_county_pop,hispanic_county_pop,asian_county_pop
kansas,wilson county,8937,8559,13,48,508,240,63
kansas,woodson county,3167,3063,19,13,128,79,8
kansas,wyandotte county,116665,68412,39007,767,6628,42801,5129
kentucky,adair county,18690,17805,518,12,583,342,48
kentucky,allen county,19880,19368,375,11,186,339,33
kentucky,anderson county,21348,20484,521,5,568,316,54
kentucky,ballard county,8173,7745,293,25,114,101,53
kentucky,barren county,41487,38895,1809,116,863,1204,217
kentucky,bath county,11706,11376,226,0,208,164,0
kentucky,bell county,28119,26740,734,56,828,115,171
kentucky,boone county,118352,109614,3631,182,3842,4678,2901
kentucky,bourbon county,18612,17010,1438,0,308,1360,10
kentucky,boyd county,48496,46111,1286,133,1539,746,194
kentucky,boyle county,28286,25240,2007,20,1547,864,236
kentucky,bracken county,8340,8322,1,0,34,119,0
kentucky,breathitt county,13596,13327,69,23,220,67,67
kentucky,breckinridge county,19849,19061,508,0,508,227,26
kentucky,bullitt county,74904,72670,488,79,2466,1189,392
kentucky,butler county,12369,12238,82,25,48,428,0
kentucky,caldwell county,12709,11798,771,0,214,171,33
kentucky,calloway county,37039,34139,1449,120,1003,942,809
kentucky,campbell county,89670,84542,2740,69,3101,1598,711
kentucky,carlisle county,4923,4781,70,44,48,108,4
kentucky,carroll county,10123,9663,187,14,280,748,119
kentucky,carter county,27298,26577,213,68,742,141,64
kentucky,casey county,15576,15277,177,21,122,426,40
kentucky,christian county,69300,50437,14477,220,5682,5159,1302
kentucky,clark county,34681,32282,1865,12,626,952,198
kentucky,clay county,21154,19889,979,72,390,292,19
kentucky,clinton county,9929,9797,74,0,76,263,20
kentucky,crittenden county,9189,8963,82,18,241,65,3
kentucky,cumberland county,6807,6474,229,0,208,22,0
kentucky,daviess county,95005,87518,4500,125,3926,2626,808
kentucky,edmonson county,11928,11651,175,17,142,209,14
kentucky,elliott county,7743,7494,240,0,5,38,4
kentucky,estill county,14541,14258,76,7,400,6,0
kentucky,fayette county,283646,221145,43354,635,15216,20827,10728
kentucky,fleming county,14334,13970,226,18,212,171,6
kentucky,floyd county,38826,38102,347,61,488,261,72
kentucky,franklin county,48094,40890,5142,109,2410,1415,711
kentucky,fulton county,6467,4702,1597,6,302,83,11
kentucky,gallatin county,8378,7869,132,0,570,176,92
kentucky,garrard county,16482,15917,257,7,592,398,5
kentucky,grant county,24065,23311,54,7,875,602,195
kentucky,graves county,35243,32695,1737,33,1331,2208,112
kentucky,grayson county,25616,24922,230,25,655,318,91
kentucky,green county,11128,10605,331,0,262,58,56
kentucky,greenup county,36306,35363,272,51,956,350,142
kentucky,hancock county,8540,8318,84,8,241,114,3
kentucky,hardin county,101678,82544,12757,268,7320,5887,2391
kentucky,harlan county,28514,27416,642,60,412,230,183
kentucky,harrison county,18280,17555,395,53,476,363,24
kentucky,hart county,18140,16965,887,37,429,287,35
kentucky,henderson county,45420,40436,3298,103,2544,974,153
kentucky,henry county,14937,14196,504,48,378,490,0
kentucky,hickman county,4754,4194,458,0,150,36,23
kentucky,hopkins county,45875,41573,2841,96,2120,809,279
kentucky,jackson county,13292,13138,3,4,294,78,0
kentucky,jefferson county,717096,525268,153321,1030,38317,34389,17920
kentucky,jessamine county,48219,45078,1531,130,1703,1382,604
kentucky,johnson county,23261,22869,67,9,342,129,145
kentucky,kenton county,157368,144784,7391,271,6066,4547,1790
kentucky,knott county,16022,15759,143,0,204,117,18
kentucky,knox county,31540,30691,498,64,408,317,80
kentucky,larue county,13720,13014,482,1,416,429,15
kentucky,laurel county,58736,57166,507,113,1218,799,312
kentucky,lawrence county,15798,15525,17,0,312,52,100
kentucky,lee county,7605,7337,101,12,239,76,35
kentucky,leslie county,11023,10937,26,7,70,105,14
kentucky,letcher county,23818,23502,140,8,246,147,45
kentucky,lewis county,13762,13595,18,42,194,86,10
kentucky,lincoln county,24173,23191,611,56,327,373,146
kentucky,livingston county,9307,9109,24,18,242,136,35
kentucky,logan county,26153,23844,1764,75,904,691,10
kentucky,lyon county,8345,7704,533,0,154,70,31
kentucky,mccracken county,64083,54923,7064,191,2458,1462,645
kentucky,mccreary county,17777,16561,998,60,241,296,26
kentucky,mclean county,9390,9184,45,24,212,120,26
kentucky,madison county,83587,77079,3732,237,3204,1898,908
kentucky,magoffin county,12957,12822,2,47,172,119,0
kentucky,marion county,19472,17374,1892,0,380,493,12
kentucky,marshall county,30838,30344,85,34,604,385,73
kentucky,martin county,12476,11814,535,10,220,274,7
kentucky,mason county,17326,15583,1166,20,1024,72,41
kentucky,meade county,28119,26070,1187,30,1296,1084,184
kentucky,menifee county,6218,6094,34,1,126,119,26
kentucky,mercer county,20804,19551,823,20,646,507,87
kentucky,metcalfe county,9884,9487,102,27,304,141,54
kentucky,monroe county,10528,10162,224,0,254,309,15
kentucky,montgomery county,26281,25137,810,45,556,702,11
kentucky,morgan county,13395,12677,416,10,337,127,121
kentucky,muhlenberg county,30987,29047,1428,69,650,404,116
kentucky,nelson county,43349,40214,2260,92,1270,905,148
kentucky,nicholas county,7041,7014,27,0,0,23,0
kentucky,ohio county,23128,22628,291,9,336,828,32
kentucky,oldham county,59463,54895,2589,100,1951,2248,889
kentucky,owen county,10483,10252,173,10,68,257,14
kentucky,owsley county,4651,4490,37,9,155,35,33
kentucky,pendleton county,14487,14240,75,24,296,155,0
kentucky,perry county,28197,27115,343,95,936,64,176
kentucky,pike county,63893,62603,558,28,687,487,352
kentucky,powell county,12400,12171,25,25,332,152,13
kentucky,pulaski county,62067,60075,662,131,1402,1438,414
kentucky,robertson county,2239,2220,0,3,32,0,0
kentucky,rockcastle county,16898,16595,24,158,220,67,11
kentucky,rowan county,23314,22229,389,13,976,171,156
kentucky,russell county,17034,16675,86,43,178,612,141
kentucky,scott county,47103,42994,2553,75,2116,2064,399
kentucky,shelby county,39719,35157,3141,13,1821,3862,380
kentucky,simpson county,17213,15036,1679,113,446,338,152
kentucky,spencer county,17122,16519,268,50,442,297,64
kentucky,taylor county,24561,22688,1160,37,984,498,184
kentucky,todd county,11994,10760,1063,5,308,505,4
kentucky,trigg county,14064,12610,1172,0,404,213,80
kentucky,trimble county,8543,8487,16,0,76,273,2
kentucky,union county,14920,12617,1937,57,458,272,70
kentucky,warren county,111468,94786,10849,350,4146,5701,3376
kentucky,washington county,11438,10462,708,16,450,433,27
kentucky,wayne county,20136,19489,420,12,398,592,16
kentucky,webster county,12853,12032,640,33,269,601,10
kentucky,whitley county,35212,34269,286,71,868,345,152
kentucky,wolfe county,7259,7191,15,21,49,14,0
kentucky,woodford county,23482,21701,1234,10,838,1669,118
louisiana,acadia parish,60820,48367,10937,81,2330,1211,188
louisiana,allen parish,24364,18114,4834,544,1268,1327,221
louisiana,ascension parish,106779,78806,25012,203,2811,5529,1242
louisiana,assumption parish,22640,15358,6891,152,296,530,91
louisiana,avoyelles parish,40928,27460,12236,462,1038,676,251
louisiana,beauregard parish,34943,28870,4709,254,1805,1166,205
louisiana,bienville parish,13903,7699,5973,36,312,219,1
louisiana,bossier parish,114334,83674,25746,723,4313,7584,1912
louisiana,caddo parish,248797,120068,121306,1073,6171,6732,3066
louisiana,calcasieu parish,189452,134462,48421,723,6488,5491,2468
louisiana,caldwell parish,9751,7899,1739,44,109,257,9
louisiana,cameron parish,6573,6341,207,0,50,140,0
louisiana,catahoula parish,10159,6760,3232,10,292,114,11
louisiana,claiborne parish,16606,7814,8432,44,622,211,5
louisiana,concordia parish,20376,11746,8413,30,178,233,98
louisiana,de soto parish,26254,15364,10308,184,609,714,85
louisiana,east baton rouge parish,426800,204838,200711,576,13236,16798,13757
louisiana,east carroll parish,7386,2031,5310,0,68,216,11
louisiana,east feliciana parish,19722,10534,8976,59,250,242,22
louisiana,evangeline parish,32968,22920,9528,47,910,810,18
louisiana,franklin parish,20569,13657,6754,0,288,76,14
louisiana,grant parish,21354,17156,3475,200,896,1009,60
louisiana,iberia parish,71149,44313,23349,197,3067,2586,1724
louisiana,iberville parish,32602,15970,16206,43,708,773,21
louisiana,jackson parish,15963,10803,4887,24,295,236,33
louisiana,jefferson parish,377193,238538,112733,1643,11756,57335,17778
louisiana,jefferson davis parish,30871,24607,5420,126,1133,621,104
louisiana,lafayette parish,218635,152624,58216,442,7536,9449,3462
louisiana,lafourche parish,93193,75182,12959,2163,4217,4042,756
louisiana,lasalle parish,14517,12421,1872,142,158,357,3
louisiana,lincoln parish,45997,25206,19165,119,1240,1246,856
louisiana,livingston parish,127923,117838,7802,567,2120,4237,577
louisiana,madison parish,11807,4258,7361,109,136,201,11
louisiana,morehouse parish,27017,13703,12938,34,503,302,64
louisiana,natchitoches parish,38571,21040,15997,362,1779,788,221
louisiana,orleans parish,348560,113105,217983,536,11114,19911,10842
louisiana,ouachita parish,152140,91506,57496,450,2470,3145,1404
louisiana,plaquemines parish,22216,15772,4934,301,840,1329,778
louisiana,pointe coupee parish,22096,13634,8103,48,447,535,65
louisiana,rapides parish,128604,81716,42337,732,3521,3595,2013
louisiana,red river parish,8815,5177,3506,12,218,122,7
louisiana,richland parish,20442,12738,7497,11,301,403,41
louisiana,sabine parish,23415,16678,4097,1639,1798,871,95
louisiana,st. bernard parish,37231,27143,8270,193,1627,3883,806
louisiana,st. charles parish,49756,34603,13755,107,1458,2860,523
louisiana,st. helena parish,10923,4876,5764,113,339,14,0
louisiana,st. james parish,21467,10423,10906,12,110,315,71
louisiana,st. john the baptist parish,42309,17295,23900,24,1371,2261,366
louisiana,st. landry parish,82055,46155,34054,119,2622,1463,376
louisiana,st. martin parish,51589,34296,16004,178,1123,1234,530
louisiana,st. mary parish,50639,30587,16775,707,3455,3145,832
louisiana,st. tammany parish,227697,191548,27875,1024,6831,12117,3557
louisiana,tangipahoa parish,119476,79470,37000,328,3467,4649,887
louisiana,tensas parish,4926,2099,2807,0,40,82,0
louisiana,terrebonne parish,107272,76464,21187,6100,4602,4895,1140
louisiana,union parish,21656,15365,5749,94,706,967,54
louisiana,vermilion parish,57132,46477,8223,313,1715,1652,1258
louisiana,vernon parish,48328,37448,7293,540,3900,4516,1064
louisiana,washington parish,45786,30774,14129,111,1292,937,104
louisiana,webster parish,40177,25702,13862,171,523,713,174
louisiana,west baton rouge parish,23719,14032,9066,77,723,628,129
louisiana,west carroll parish,11197,9198,1855,14,218,325,21
louisiana,west feliciana parish,15246,7983,7076,42,288,239,0
louisiana,winn parish,14740,9833,4650,86,333,260,0
maine,androscoggin county,105701,98452,1675,149,8991,1769,916
maine,aroostook county,69915,66943,465,1036,2240,738,349
maine,cumberland county,279054,259442,7338,520,11017,5297,6043
maine,franklin county,30225,29429,82,128,830,344,171
maine,hancock county,53901,52192,246,198,1474,680,514
maine,kennebec county,119862,115712,926,697,3028,1645,1005
maine,knox county,39257,38143,248,124,931,396,274
maine,lincoln county,33929,33064,89,144,662,308,294
maine,oxford county,56885,55195,228,188,1746,632,383
maine,penobscot county,151850,144951,1167,1605,5113,1777,1515
maine,piscataquis county,17077,16568,22,29,741,194,86
maine,sagadahoc county,34602,33355,243,62,1336,500,261
maine,somerset county,51285,49831,197,232,1604,477,223
maine,waldo county,38495,37457,141,84,1193,409,213
maine,washington county,31884,29411,147,1438,1447,513,161
maine,york county,196021,189240,1242,609,5537,2913,2108
maryland,allegany county,72826,64982,5866,89,2416,1150,670
maryland,anne arundel county,513603,391876,84265,775,33137,36666,19674
maryland,baltimore county,779890,499018,216219,1761,35097,37830,44527
maryland,calvert county,86985,71303,11754,161,5336,2808,1082
maryland,caroline county,30839,25425,4530,73,1259,1920,163
maryland,carroll county,162717,151808,5228,251,5363,4682,2687
maryland,cecil county,97951,88027,6808,236,3134,3852,1212
maryland,charles county,143716,70122,62237,1028,10719,7244,4849
maryland,dorchester county,31297,21316,9100,34,941,1317,374
maryland,frederick county,220444,183121,20327,558,11677,18809,10196
maryland,garrett county,29685,29027,249,19,514,260,133
maryland,harford county,238420,193737,31893,417,11265,9609,6406
maryland,howard county,280925,170896,52792,518,19406,18344,46529
maryland,kent county,19142,15618,3028,46,461,874,180
maryland,montgomery county,824690,476726,170308,1610,63103,180397,142981
maryland,prince george's county,744309,128365,556318,2115,37774,140455,37621
maryland,queen anne's county,46848,42158,3404,108,1541,1591,387
maryland,st. mary's county,103824,82351,15239,220,6560,4648,2701
maryland,somerset county,25259,13501,10789,55,1282,938,263
maryland,talbot county,35666,29703,4778,15,1060,2228,593
maryland,washington county,143169,122212,14558,258,7566,5744,2358
maryland,wicomico county,95480,65805,24107,67,5037,4896,2909
maryland,worcester county,49847,41255,7298,70,1183,1711,611
maryland,baltimore city,594520,174732,388945,1635,25676,27751,15693
massachusetts,barnstable county,209900,196810,5215,855,7190,5267,2870
massachusetts,berkshire county,125157,116871,3439,300,5183,4907,1791
massachusetts,bristol county,515233,467030,18211,318,30531,35832,11281
massachusetts,dukes county,16852,15931,305,110,597,63,151
massachusetts,essex county,623909,563691,21615,500,22172,133486,25482
massachusetts,franklin county,68798,65447,633,152,2705,2502,1149
massachusetts,hampden county,363288,308203,36177,623,15685,103159,9684
massachusetts,hampshire county,152267,136762,4092,153,5687,8061,8351
massachusetts,middlesex county,1430948,1162190,69466,1412,77665,108884,155356
massachusetts,nantucket county,9661,8104,847,1,1052,753,130
massachusetts,norfolk county,657830,538710,40003,516,26348,25030,64186
massachusetts,plymouth county,483703,418101,41935,596,26938,17069,6205
massachusetts,suffolk county,591605,352091,149442,1306,43312,156323,62639
massachusetts,worcester county,726316,642703,32475,1264,27852,80488,34830
michigan,alcona county,10517,10287,21,24,292,140,36
michigan,alger county,9397,8099,665,296,652,119,11
michigan,allegan county,104505,100194,1522,635,2643,7761,816
michigan,alpena county,28890,28149,140,149,706,352,99
michigan,antrim county,22929,22254,62,175,727,439,64
michigan,arenac county,15297,14831,180,112,274,267,37
michigan,baraga county,8633,6433,1521,423,410,107,51
michigan,barry county,57672,56212,276,120,1548,1435,280
michigan,bay county,101841,97250,1298,273,4803,5233,603
michigan,benzie county,17100,16485,92,207,534,350,45
michigan,berrien county,148426,117817,23277,586,7633,7566,2846
michigan,branch county,42137,40168,1060,100,1237,1828,189
michigan,calhoun county,128871,107276,14377,923,7386,6279,2533
michigan,cass county,50340,45303,2547,459,3149,1661,450
michigan,charlevoix county,25620,24595,88,327,1000,418,109
michigan,cheboygan county,25534,23893,112,467,1983,287,69
michigan,chippewa county,38110,27460,2490,5734,4206,588,304
michigan,clare county,30251,29305,148,146,1100,535,78
michigan,clinton county,73282,69141,1178,171,3441,3197,1067
michigan,crawford county,13720,13352,68,32,386,221,75
michigan,delta county,36479,34581,117,664,2007,362,107
michigan,dickinson county,25777,25062,123,95,682,320,144
michigan,eaton county,102640,90967,6521,410,5325,5441,2045
michigan,emmet county,32449,30173,217,804,2002,473,238
michigan,genesee county,405483,303735,84672,1858,21885,13171,4118
michigan,gladwin county,25275,24751,131,125,334,324,100
michigan,gogebic county,15871,14501,699,488,251,171,55
michigan,grand traverse county,86779,82634,1218,1176,2175,2202,630
michigan,gratiot county,39733,36601,2413,130,1036,2324,62
michigan,hillsdale county,45365,44204,276,259,880,917,176
michigan,houghton county,36247,34095,292,157,1173,492,1094
michigan,huron county,31854,31181,110,142,446,671,196
michigan,ingham county,261432,202627,30469,1029,23898,21130,15213
michigan,ionia county,61035,56645,2357,234,3146,2941,197
michigan,iosco county,25031,24180,164,319,482,473,127
michigan,iron county,11434,11108,85,61,302,181,29
michigan,isabella county,68017,61155,1698,1880,4176,2489,1182
michigan,jackson county,154824,136532,13267,644,6388,5103,1121
michigan,kalamazoo county,243779,201538,27857,643,15028,11091,6089
michigan,kalkaska county,16935,16380,114,108,437,269,113
michigan,kent county,554345,463842,57483,1912,31292,61036,15090
michigan,keweenaw county,2187,2151,20,1,16,10,7
michigan,lake county,11163,9780,975,43,708,268,9
michigan,lapeer county,84348,81632,1052,243,1996,3807,416
michigan,leelanau county,20905,19723,118,603,598,834,147
michigan,lenawee county,91672,86607,2187,372,4246,7585,317
michigan,livingston county,179458,174098,752,405,5051,3806,1620
michigan,luce county,6428,5167,604,482,304,84,23
michigan,mackinac county,10925,8314,159,1766,1247,155,58
michigan,macomb county,829135,697439,82850,2130,34992,20209,28503
michigan,manistee county,23859,22087,667,456,1168,686,65
michigan,marquette county,66645,62610,1105,971,2947,890,474
michigan,mason county,27497,26462,209,254,814,1208,165
michigan,mecosta county,42381,39703,1157,159,1999,845,357
michigan,menominee county,23499,22383,104,437,1052,339,49
michigan,midland county,81711,77115,1087,361,2187,1909,1927
michigan,missaukee county,14628,14255,30,93,402,358,49
michigan,monroe county,145966,138946,3429,544,4162,4885,860
michigan,montcalm county,61036,58159,1295,230,2212,2010,241
michigan,montmorency county,9396,9172,19,81,248,110,0
michigan,muskegon county,162640,132044,23023,857,11198,8688,1095
michigan,newaygo county,45379,43642,636,329,1125,2747,168
michigan,oakland county,1176486,903320,166763,2542,58438,44312,73490
michigan,oceana county,22619,21823,90,272,727,3706,66
michigan,ogemaw county,21013,20460,54,139,558,360,81
michigan,ontonagon county,6383,6193,37,55,138,65,25
michigan,osceola county,22966,22252,150,152,692,361,66
michigan,oscoda county,8427,8212,28,45,232,98,19
michigan,otsego county,23789,22997,71,116,932,337,139
michigan,ottawa county,245329,229370,3480,767,8364,24466,7470
michigan,presque isle county,12999,12670,56,70,307,129,48
michigan,roscommon county,23825,23174,65,159,598,316,126
michigan,saginaw county,181959,138758,36008,492,8581,15768,2328
michigan,st. clair county,156120,147894,3585,292,6948,4888,842
michigan,st. joseph county,56777,53401,1681,195,2120,4221,415
michigan,sanilac county,40798,39919,219,104,978,1503,62
michigan,schoolcraft county,8273,7221,40,496,811,72,108
michigan,shiawassee county,67739,65848,399,257,1799,1814,312
michigan,tuscola county,53125,51476,601,202,1296,1670,183
michigan,van buren county,67504,62022,2807,500,3410,8065,444
michigan,washtenaw county,336491,250800,41877,623,27889,14963,28854
michigan,wayne county,1692443,890991,707129,5425,76009,97635,49499
michigan,wexford county,32136,31102,136,220,940,563,206
minnesota,aitkin county,15795,15101,67,335,478,169,53
minnesota,anoka county,323502,283649,15858,1905,17253,12814,13370
minnesota,becker county,32451,28755,144,2347,2102,520,151
minnesota,beltrami county,44408,33330,363,8803,2884,828,460
minnesota,benton county,38267,36239,954,187,890,713,438
minnesota,big stone county,5124,5043,14,13,104,56,2
minnesota,blue earth county,62911,58444,1876,215,2135,1809,1300
minnesota,brown county,24609,24192,98,29,350,904,115
minnesota,carlton county,34879,31423,450,1919,1698,551,231
minnesota,carver county,90407,84985,1010,158,3385,3805,2535
minnesota,cass county,28070,24108,91,2814,1689,429,205
minnesota,chippewa county,11572,11062,91,59,356,663,182
minnesota,chisago county,52862,50767,612,280,1652,936,377
minnesota,clay county,57898,54177,939,680,2695,2351,707
minnesota,clearwater county,8601,7523,17,746,534,134,48
minnesota,cook county,5113,4502,50,365,258,84,65
minnesota,cottonwood county,10877,10282,65,50,394,799,283
minnesota,crow wing county,62139,60150,479,694,982,761,315
minnesota,dakota county,379885,329291,20340,1008,20919,25636,18343
minnesota,dodge county,19284,18869,107,31,364,962,95
minnesota,douglas county,35964,35231,186,100,727,449,82
minnesota,faribault county,13481,13236,54,24,220,856,56
minnesota,fillmore county,20619,20304,74,33,296,223,58
minnesota,freeborn county,28197,27179,297,80,607,2837,313
minnesota,goodhue county,44934,43020,557,508,1184,1402,257
minnesota,grant county,5872,5760,6,16,131,105,23
minnesota,hennepin county,1103758,838600,139307,7272,78971,80333,77565
minnesota,houston county,18720,18269,44,49,647,139,30
minnesota,hubbard county,20169,19205,127,399,688,349,94
minnesota,isanti county,37540,36186,216,190,1336,650,280
minnesota,itasca county,44789,41901,178,1401,2190,514,214
minnesota,jackson county,9938,9612,14,18,116,322,236
minnesota,kanabec county,15831,15363,27,188,372,253,67
minnesota,kandiyohi county,37553,35641,1197,126,814,4763,181
minnesota,kittson county,4417,4349,19,6,44,84,20
minnesota,koochiching county,13104,12322,96,427,392,34,63
minnesota,lac qui parle county,6985,6829,34,26,96,111,48
minnesota,lake county,10671,10408,11,30,444,120,0
minnesota,lake of the woods county,3934,3767,35,15,180,42,27
minnesota,le sueur county,26209,25556,136,106,555,1508,128
minnesota,lincoln county,5727,5655,28,6,52,94,12
minnesota,lyon county,24130,22370,673,138,290,1594,804
minnesota,mcleod county,34317,33496,133,47,815,1855,232
minnesota,mahnomen county,5347,2650,32,2191,866,139,27
minnesota,marshall county,9083,8908,32,43,170,364,15
minnesota,martin county,19749,19354,72,36,362,766,106
minnesota,meeker county,22378,22005,70,41,308,769,95
minnesota,mille lacs county,25453,23317,162,1357,995,438,115
minnesota,morrison county,32607,31864,123,34,839,447,161
minnesota,mower county,35019,32525,969,38,1340,4293,782
minnesota,murray county,8321,8124,28,13,150,265,81
minnesota,nicollet county,31612,29935,798,71,931,1311,333
minnesota,nobles county,16302,13756,845,53,807,5287,1169
minnesota,norman county,6423,6105,29,104,282,302,44
minnesota,olmsted county,140930,121524,7477,108,7037,6501,8245
minnesota,otter tail county,55774,53992,615,224,1217,1643,329
minnesota,pennington county,13597,12850,214,162,457,444,134
minnesota,pine county,28581,26427,588,754,1226,766,194
minnesota,pipestone county,8999,8614,97,94,176,408,106
minnesota,polk county,29821,28271,344,279,1367,1809,242
minnesota,pope county,10835,10630,55,44,146,111,33
minnesota,ramsey county,483415,340704,56314,2742,33851,37850,66447
minnesota,red lake county,3954,3802,33,50,116,117,9
minnesota,redwood county,15444,13892,97,768,281,390,545
minnesota,renville county,14212,13803,108,129,176,1114,83
minnesota,rice county,59765,54871,2270,289,1849,5064,1399
minnesota,rock county,9367,9102,45,105,52,220,89
minnesota,roseau county,15405,14533,86,156,436,140,412
minnesota,st. louis county,197832,184200,3055,4232,8765,2731,1923
minnesota,scott county,128925,113076,3823,899,6464,6204,7835
minnesota,sherburne county,87687,83124,1770,329,2824,2083,1052
minnesota,sibley county,13912,13601,46,25,264,1184,106
minnesota,stearns county,147270,136308,5363,496,4217,4458,2958
minnesota,steele county,33964,32175,853,27,1260,2508,277
minnesota,stevens county,9372,8818,54,94,400,376,197
minnesota,swift county,9220,9008,113,24,90,382,29
minnesota,todd county,23278,22662,88,88,689,1310,85
minnesota,traverse county,3396,3187,5,138,132,59,0
minnesota,wabasha county,20872,20470,90,23,448,613,65
minnesota,wadena county,13548,13103,140,122,288,206,39
minnesota,waseca county,18071,17155,426,91,494,1056,152
minnesota,washington county,235233,207059,8880,768,11492,8870,12622
minnesota,watonwan county,8723,8461,21,13,248,2428,104
minnesota,wilkin county,6410,6231,24,62,163,151,10
minnesota,winona county,49942,47321,682,164,929,1343,1292
minnesota,wright county,124018,118814,1324,484,3928,3368,1404
minnesota,yellow medicine county,9817,9317,28,255,346,416,44
mississippi,adams county,30736,12258,18185,26,340,1453,97
mississippi,alcorn county,36189,31160,4200,54,1330,1090,86
mississippi,amite county,12912,7408,5478,0,30,45,11
mississippi,attala county,18950,10655,8077,0,370,353,33
mississippi,benton county,8397,5157,3140,13,174,176,0
mississippi,bolivar county,33266,11074,21794,48,234,695,233
mississippi,calhoun county,14026,9735,4047,5,300,815,89
mississippi,carroll county,10376,6740,3517,12,156,42,29
mississippi,chickasaw county,16717,9064,7514,5,153,659,46
mississippi,choctaw county,8362,5685,2633,0,68,37,10
mississippi,claiborne county,9304,1301,7882,20,10,92,96
mississippi,clarke county,16413,10501,5875,3,16,96,26
mississippi,clay county,20168,8094,11870,24,144,246,108
mississippi,coahoma county,25441,5803,19346,24,232,86,152
mississippi,copiah county,28222,13161,14792,3,389,806,68
mississippi,covington county,19097,12018,6859,12,318,398,49
mississippi,desoto county,158016,114442,38200,148,5961,8250,2137
mississippi,forrest county,73602,44037,27739,169,1706,2557,782
mississippi,franklin county,7934,5052,2828,8,40,10,26
mississippi,george county,22473,20242,1824,48,512,487,103
mississippi,greene county,14164,10188,3620,14,574,144,29
mississippi,grenada county,21626,12084,9300,54,166,34,105
mississippi,hancock county,43581,38568,3875,0,1252,1555,479
mississippi,harrison county,183310,127572,43703,479,11094,10332,5658
mississippi,hinds county,242563,66608,172062,330,3253,3801,1900
mississippi,holmes county,18924,3095,15668,10,178,41,62
mississippi,humphreys county,8892,2026,6840,0,28,214,12
mississippi,issaquena county,1278,423,855,0,0,1,0
mississippi,itawamba county,23090,21375,1523,16,266,325,43
mississippi,jackson county,133107,96894,30260,360,4969,7087,3014
mississippi,jasper county,16544,7663,8781,0,198,143,1
mississippi,jefferson county,7634,1048,6558,0,0,0,28
mississippi,jefferson davis county,12069,4649,7384,0,72,31,0
mississippi,jones county,65281,44598,19532,202,1081,2992,381
mississippi,kemper county,10016,3589,5978,392,102,294,6
mississippi,lafayette county,49111,35381,12163,20,763,1145,1165
mississippi,lamar county,56702,43647,11695,103,984,1336,757
mississippi,lauderdale county,78660,43000,33855,155,2178,1601,561
mississippi,lawrence county,12551,8328,4076,10,245,85,7
mississippi,leake county,22366,11294,9666,1338,128,1002,4
mississippi,lee county,82512,57184,23141,118,2337,2076,675
mississippi,leflore county,31011,7734,22693,152,436,761,214
mississippi,lincoln county,34454,23469,10686,111,348,370,14
mississippi,lowndes county,58707,31629,26342,36,532,1029,420
mississippi,madison county,95797,55001,37704,92,1351,2825,2252
mississippi,marion county,26092,17213,8513,58,603,357,1
mississippi,marshall county,35427,17761,17232,89,600,1209,42
mississippi,monroe county,36010,24447,11206,0,612,373,48
mississippi,montgomery county,10634,5594,5003,0,74,0,0
mississippi,neshoba county,29064,17621,6310,4695,612,532,131
mississippi,newton county,21341,13562,6605,1046,238,330,9
mississippi,noxubee county,11136,2996,8079,59,4,104,0
mississippi,oktibbeha county,47868,27964,17989,60,881,771,1373
mississippi,panola county,33960,16620,17232,12,162,547,15
mississippi,pearl river county,53636,45276,7360,119,1452,1657,155
mississippi,perry county,12167,9396,2632,0,254,6,0
mississippi,pike county,39686,18188,20908,152,452,523,206
mississippi,pontotoc county,28521,23636,4435,14,526,1853,173
mississippi,prentiss county,25013,21151,3574,17,436,325,53
mississippi,quitman county,7813,2255,5502,0,76,89,18
mississippi,rankin county,141691,109915,28248,214,2866,3792,1830
mississippi,scott county,25317,14376,10626,37,119,2995,217
mississippi,sharkey county,4850,1379,3447,0,0,48,24
mississippi,simpson county,26989,16971,9580,0,546,436,155
mississippi,smith county,16309,12199,4034,0,134,35,9
mississippi,stone county,17662,13852,3331,152,624,279,14
mississippi,sunflower county,27903,7112,20609,22,205,411,54
mississippi,tallahatchie county,13026,5484,7204,49,128,2098,225
mississippi,tate county,27876,18702,8746,0,618,681,119
mississippi,tippah county,21018,17162,3274,44,790,1051,143
mississippi,tishomingo county,19012,18266,482,66,262,520,67
mississippi,tunica county,10444,2278,7953,0,216,139,86
mississippi,union county,26289,21808,3804,82,727,1247,225
mississippi,walthall county,14875,8006,6719,0,198,251,51
mississippi,warren county,47328,23617,22958,35,536,963,450
mississippi,washington county,49427,13277,35538,93,494,611,272
mississippi,wayne county,20335,12107,8020,26,342,276,11
mississippi,webster county,9956,7840,1935,0,319,121,16
mississippi,wilkinson county,9472,2726,6746,0,0,9,0
mississippi,winston county,18678,9642,8893,26,86,204,74
mississippi,yalobusha county,12249,7367,4768,50,114,184,7
mississippi,yazoo county,26647,10313,15984,62,444,1429,66
missouri,adair county,25027,23547,538,102,501,615,578
missouri,andrew county,17021,16586,137,65,369,352,45
missouri,atchison county,5456,5357,30,20,80,64,9
missouri,audrain county,24953,22630,1509,45,1379,684,73
missouri,barry county,32747,31332,18,187,1458,2934,481
missouri,barton county,12015,11509,27,105,498,271,125
missouri,bates county,16454,15952,113,100,554,326,12
missouri,benton county,18643,18128,51,79,663,318,38
missouri,bollinger county,12284,12027,41,9,210,110,102
missouri,boone county,163009,135326,14613,145,11831,5259,6806
