state,county,poverty_pct,med_income
CA,los angeles county,18.7,55686
CA,madera county,22.3,43171
CA,marin county,8.8,94549
CA,mariposa county,16.2,47781
CA,mendocino county,18.8,42840
CA,merced county,24.8,43818
CA,modoc county,20.2,39172
CA,mono county,11.3,59181
CA,monterey county,17,57428
CA,napa county,9,71063
CA,nevada county,11.4,57118
CA,orange county,12.9,76061
CA,placer county,8.3,75689
CA,plumas county,14,47964
CA,riverside county,17.1,56877
CA,sacramento county,18.1,55803
CA,san benito county,14.1,68166
CA,san bernardino county,20.4,51951
CA,san diego county,14.7,66034
CA,san francisco county,12.1,83788
CA,san joaquin county,20.7,51527
CA,san luis obispo county,14.5,61775
CA,san mateo county,7.5,100806
CA,santa barbara county,17.4,62116
CA,santa clara county,8.5,97219
CA,santa cruz county,16.1,64257
CA,shasta county,14.7,43661
CA,sierra county,13.8,47293
CA,siskiyou county,21.1,38641
CA,solano county,12.3,67106
CA,sonoma county,11.3,66949
CA,stanislaus county,18.1,50917
CA,sutter county,15.2,51827
CA,tehama county,18.2,40782
CA,trinity county,19.9,34961
CA,tulare county,28.1,42360
CA,tuolumne county,14.3,49476
CA,ventura county,11.5,74967
CA,yolo county,19.5,54509
CA,yuba county,21.6,41403
CO,colorado,12.1,61324
CO,adams county,12.9,59316
CO,alamosa county,22.5,38140
CO,arapahoe county,11.2,65359
CO,archuleta county,14.7,44508
CO,baca county,20,36294
CO,bent county,32.3,35424
CO,boulder county,13.3,71546
CO,broomfield county,4,85885
CO,chaffee county,12.4,48840
CO,cheyenne county,13.4,52273
CO,clear creek county,8.5,69115
CO,conejos county,22.9,33998
CO,costilla county,28.5,27882
CO,crowley county,40.5,32570
CO,custer county,14.9,48368
CO,delta county,15.6,45283
CO,denver county,15.9,54872
CO,dolores county,15.4,44235
CO,douglas county,3.7,107250
CO,eagle county,7.8,76661
CO,elbert county,5.9,83603
CO,el paso county,12.2,59286
CO,fremont county,19.1,41385
CO,garfield county,10.2,62529
CO,gilpin county,7.9,64752
CO,grand county,10.4,59379
CO,gunnison county,14.9,48940
CO,hinsdale county,10.1,51241
CO,huerfano county,22,32750
CO,jackson county,16.6,45073
CO,jefferson county,8.3,70687
CO,kiowa county,13.5,42310
CO,kit carson county,14.9,46394
CO,lake county,16,46765
CO,la plata county,10.7,60658
CO,larimer county,12.8,57659
CO,las animas county,17.4,39625
CO,lincoln county,18.3,41248
CO,logan county,17.7,45439
CO,mesa county,15.4,50106
CO,mineral county,8.9,51257
CO,moffat county,11.2,56193
CO,montezuma county,16.3,44163
CO,montrose county,15.5,46336
CO,morgan county,13.4,47631
CO,otero county,26,33043
CO,ouray county,9.6,57242
CO,park county,9.4,58487
CO,phillips county,11.5,47006
CO,pitkin county,7,73274
