state,county,educ_pct
california,tulare county,68
california,tuolumne county,89.6
california,ventura county,83
california,yolo county,85
california,yuba county,79.6
colorado,colorado,90.4
colorado,adams county,81.8
colorado,alamosa county,84.6
colorado,arapahoe county,91.8
colorado,archuleta county,92.3
colorado,baca county,85.5
colorado,bent county,78.4
colorado,boulder county,94
colorado,broomfield county,94.8
colorado,chaffee county,90.5
colorado,cheyenne county,88.2
colorado,clear creek county,96
colorado,conejos county,84
colorado,costilla county,75.5
colorado,crowley county,75.5
colorado,custer county,95.6
colorado,delta county,88
colorado,denver county,85.6
colorado,dolores county,88.2
colorado,douglas county,97.4
colorado,eagle county,89.9
colorado,elbert county,95.8
colorado,el paso county,93.5
colorado,fremont county,84.3
colorado,garfield county,85.3
colorado,gilpin county,94.6
colorado,grand county,95
colorado,gunnison county,94.5
colorado,hinsdale county,94.9
colorado,huerfano county,85.3
colorado,jackson county,84.5
colorado,jefferson county,93.8
colorado,kiowa county,91.2
colorado,kit carson county,83.2
colorado,lake county,92.6
colorado,la plata county,94.3
colorado,larimer county,95.1
colorado,las animas county,85.7
colorado,lincoln county,80.1
colorado,logan county,87.6
colorado,mesa county,89.7
colorado,mineral county,96.5
colorado,moffat county,89.1
colorado,montezuma county,90.1
colorado,montrose county,86.9
colorado,morgan county,79.2
colorado,otero county,82.5
colorado,ouray county,98.1
colorado,park county,95.8
colorado,phillips county,83.8
colorado,pitkin county,94.8
colorado,prowers county,80.3
colorado,pueblo county,87.8
colorado,rio blanco county,91.2
colorado,rio grande county,83.8
colorado,routt county,96.5
colorado,saguache county,78.5
colorado,san juan county,94.4
colorado,san miguel county,95.3
colorado,sedgwick county,87.9
colorado,summit county,94.6
colorado,teller county,93.1
colorado,washington county,90.5
colorado,weld county,86.5
colorado,yuma county,88.9
connecticut,connecticut,89.5
connecticut,fairfield county,89.2
connecticut,hartford county,88.6
connecticut,litchfield county,91.3
connecticut,middlesex county,93.8
connecticut,new haven county,88.9
connecticut,new london county,90.9
connecticut,tolland county,93.2
connecticut,windham county,88
delaware,delaware,88
delaware,kent county,86
delaware,new castle county,89.8
delaware,sussex county,85.3
district of columbia,district of columbia,88.9
district of columbia,district of columbia,88.9
florida,florida,86.5
florida,alachua county,91.8
florida,baker county,80.4
florida,bay county,87.6
florida,bradford county,76.1
florida,brevard county,90.5
florida,broward county,87.9
florida,calhoun county,73.3
florida,charlotte county,89.1
florida,citrus county,86.8
florida,clay county,90
florida,collier county,85.7
florida,columbia county,84.4
florida,desoto county,70.6
florida,dixie county,79.1
florida,duval county,88.4
florida,escambia county,88.5
florida,flagler county,89.8
florida,franklin county,78.4
florida,gadsden county,77
florida,gilchrist county,80.7
florida,glades county,76
florida,gulf county,79.6
florida,hamilton county,76.2
florida,hardee county,65.3
florida,hendry county,65.7
florida,hernando county,86.6
florida,highlands county,81.6
florida,hillsborough county,87.1
florida,holmes county,75.7
florida,indian river county,87.2
florida,jackson county,78.8
florida,jefferson county,80.1
florida,lafayette county,75.6
florida,lake county,86.9
florida,lee county,86.9
florida,leon county,92.1
florida,levy county,80.8
florida,liberty county,75
florida,madison county,79.4
florida,manatee county,87.7
florida,marion county,85.3
florida,martin county,89
florida,miami dade county,79.5
florida,monroe county,90.4
florida,nassau county,89.5
florida,okaloosa county,91
florida,okeechobee county,68.7
florida,orange county,87.3
florida,osceola county,84.2
florida,palm beach county,87.7
florida,pasco county,87.5
florida,pinellas county,89.4
florida,polk county,83.1
florida,putnam county,77.3
florida,st  johns county,93.8
florida,st  lucie county,85.6
florida,santa rosa county,90.2
florida,sarasota county,92.2
florida,seminole county,92.2
florida,sumter county,88.7
florida,suwannee county,78.4
florida,taylor county,74.5
florida,union county,74.8
florida,volusia county,88.1
florida,wakulla county,87.5
florida,walton county,84.8
florida,washington county,80.4
georgia,georgia,85
georgia,appling county,75.6
georgia,atkinson county,67.1
georgia,bacon county,74.2
georgia,baker county,79.6
georgia,baldwin county,82.5
georgia,banks county,77.6
georgia,barrow county,82.3
georgia,bartow county,81.3
georgia,ben hill county,78.7
georgia,berrien county,79.4
georgia,bibb county,82.7
georgia,bleckley county,81.7
georgia,brantley county,77.1
georgia,brooks county,77.2
georgia,bryan county,89.2
georgia,bulloch county,86.3
georgia,burke county,77.2
georgia,butts county,75.3
georgia,calhoun county,68.3
georgia,camden county,91.1
georgia,candler county,76.7
georgia,carroll county,80.1
georgia,catoosa county,83.4
georgia,charlton county,75.6
georgia,chatham county,88.7
georgia,chattahoochee county,93
georgia,chattooga county,68.1
georgia,cherokee county,88.9
georgia,clarke county,85.5
georgia,clay county,80
georgia,clayton county,81.8
georgia,clinch county,74.6
georgia,cobb county,91
georgia,coffee county,77.1
georgia,colquitt county,71.4
georgia,columbia county,91.1
georgia,cook county,75
georgia,coweta county,88.3
georgia,crawford county,79.1
georgia,crisp county,77.8
georgia,dade county,80.3
georgia,dawson county,85.1
georgia,decatur county,78.9
georgia,dekalb county,88.4
georgia,dodge county,79.6
georgia,dooly county,73.5
georgia,dougherty county,79.8
georgia,douglas county,87.7
georgia,early county,79.8
georgia,echols county,73
georgia,effingham county,85.7
georgia,elbert county,78.1
georgia,emanuel county,77.3
georgia,evans county,75
georgia,fannin county,79.9
georgia,fayette county,93.7
georgia,floyd county,77.9
georgia,forsyth county,91.6
georgia,franklin county,72
georgia,fulton county,90.7
georgia,gilmer county,77.5
georgia,glascock county,82.5
georgia,glynn county,86.6
georgia,gordon county,73.7
georgia,grady county,73
georgia,greene county,79.4
georgia,gwinnett county,87.3
georgia,habersham county,78
georgia,hall county,78.5
georgia,hancock county,72.4
georgia,haralson county,76.4
georgia,harris county,89.5
georgia,hart county,80.8
georgia,heard county,75.6
georgia,henry county,89.6
georgia,houston county,89
georgia,irwin county,81.7
georgia,jackson county,81.5
georgia,jasper county,80
georgia,jeff davis county,79
georgia,jefferson county,71.8
georgia,jenkins county,73.1
georgia,johnson county,76
georgia,jones county,87.6
georgia,lamar county,83.6
georgia,lanier county,78
georgia,laurens county,80.8
georgia,lee county,85.6
georgia,liberty county,90.2
georgia,lincoln county,82.3
georgia,long county,84.3
georgia,lowndes county,83.7
georgia,lumpkin county,86
georgia,mcduffie county,74.1
georgia,mcintosh county,78.6
georgia,macon county,70.2
georgia,madison county,80.4
georgia,marion county,76
georgia,meriwether county,72
georgia,miller county,78
georgia,mitchell county,73.2
georgia,monroe county,80.3
georgia,montgomery county,82.2
georgia,morgan county,81.8
georgia,murray county,68.8
georgia,muscogee county,85.5
georgia,newton county,83.6
georgia,oconee county,92.4
georgia,oglethorpe county,81.9
georgia,paulding county,89
georgia,peach county,84.4
georgia,pickens county,82.5
georgia,pierce county,79.6
georgia,pike county,85.7
georgia,polk county,75.2
georgia,pulaski county,76.8
georgia,putnam county,84.7
georgia,quitman county,75.1
georgia,rabun county,86
georgia,randolph county,72.7
georgia,richmond county,83.7
georgia,rockdale county,85.8
georgia,schley county,74.1
georgia,screven county,81
georgia,seminole county,81.4
georgia,spalding county,77.3
